Dustin Johnson,12,9-1,0.1,0.6,0.1666666667
Bryson DeChambeau,12,11-1,0.08333333333,0.6,0.1388888889
Jon Rahm,11.75,12-1,0.07692307692,0.5875,0.1309328969
Justin Thomas,11.75,10-1,0.09090909091,0.5875,0.1547388781
Rory McIlroy,11.5,14-1,0.06666666667,0.575,0.115942029
Jordan Spieth,11.5,10-1,0.09090909091,0.575,0.1581027668
Xander Schauffele,11.25,22-1,0.04347826087,0.5625,0.07729468599
Brooks Koepka,11,25-1,0.03846153846,0.55,0.06993006993
Patrick Cantlay,10.75,22-1,0.04347826087,0.5375,0.08088978766
Patrick Reed,10.5,28-1,0.03448275862,0.525,0.06568144499
Collin Morikawa,10.5,30-1,0.03225806452,0.525,0.06144393241
Tony Finau,10,33-1,0.02941176471,0.5,0.05882352941
Viktor Hovland,9.75,33-1,0.02941176471,0.4875,0.06033182504
Lee Westwood,9.5,30-1,0.03225806452,0.475,0.06791171477
Tyrrell Hatton,9.5,35-1,0.02777777778,0.475,0.05847953216
Daniel Berger,9,33-1,0.02941176471,0.45,0.06535947712
Hideki Matsuyama,9,35-1,0.02777777778,0.45,0.06172839506
Scottie Scheffler,8.75,35-1,0.02777777778,0.4375,0.06349206349
Matthew Wolff,8.75,90-1,0.01098901099,0.4375,0.0251177394
Paul Casey,8.5,40-1,0.0243902439,0.425,0.05738880918
Cameron Smith,8.5,35-1,0.02777777778,0.425,0.06535947712
Sung-Jae Im,8.25,35-1,0.02777777778,0.4125,0.06734006734
Jason Day,8.25,45-1,0.02173913043,0.4125,0.05270092227
Bubba Watson,8,50-1,0.01960784314,0.4,0.04901960784
Tommy Fleetwood,8,45-1,0.02173913043,0.4,0.05434782609
Webb Simpson,7.75,35-1,0.02777777778,0.3875,0.07168458781
Joaquin Niemann,7.75,50-1,0.01960784314,0.3875,0.05060088552
Francesco Molinari,7.5,90-1,0.01098901099,0.375,0.0293040293
Sergio Garcia,7.25,45-1,0.02173913043,0.3625,0.05997001499
Adam Scott,7,66-1,0.01492537313,0.35,0.04264392324
Justin Rose,7,70-1,0.01408450704,0.35,0.04024144869
Harris English,7,80-1,0.01234567901,0.35,0.03527336861
Matthew Fitzpatrick,7,45-1,0.02173913043,0.35,0.06211180124
Gary Woodland,6.75,125-1,0.007936507937,0.3375,0.02351557907
Will Zalatoris,6.5,66-1,0.01492537313,0.325,0.04592422503
Louis Oosthuizen,6.25,66-1,0.01492537313,0.3125,0.04776119403
Billy Horschel,6,80-1,0.01234567901,0.3,0.04115226337
Max Homa,5.75,80-1,0.01234567901,0.2875,0.04294149222
Jason Kokrak,5.75,80-1,0.01234567901,0.2875,0.04294149222
Shane Lowry,5.5,90-1,0.01098901099,0.275,0.03996003996
Abraham Ancer,5.25,70-1,0.01408450704,0.2625,0.05365526492
Phil Mickelson,5.25,100-1,0.009900990099,0.2625,0.03771805752
Victor Perez,5,90-1,0.01098901099,0.25,0.04395604396
Marc Leishman,5,100-1,0.009900990099,0.25,0.0396039604
Christiaan Bezuidenhout,4.75,100-1,0.009900990099,0.2375,0.04168837936
Corey Conners,4.5,80-1,0.01234567901,0.225,0.0548696845
Ian Poulter,4.5,125-1,0.007936507937,0.225,0.03527336861
Si-Woo Kim,4.25,100-1,0.009900990099,0.2125,0.04659289458
Matt Kuchar,4.25,80-1,0.01234567901,0.2125,0.058097313
Henrik Stenson,4,250-1,0.003984063745,0.2,0.01992031873
Brian Harman,4,90-1,0.01098901099,0.2,0.05494505495
Matt Jones,3.75,125-1,0.007936507937,0.1875,0.04232804233
Cameron Champ,3.75,125-1,0.007936507937,0.1875,0.04232804233
Dylan Frittelli,3.75,125-1,0.007936507937,0.1875,0.04232804233
Sebastian Munoz,3.5,150-1,0.006622516556,0.175,0.03784295175
Kevin Kisner,3.5,125-1,0.007936507937,0.175,0.04535147392
