Charl Schwartzel,2,250-1,0.003984063745,0.1,0.03984063745,0.002555982613
Hudson Swafford,2,400-1,0.002493765586,0.1,0.02493765586,0.001599879391
Mackenzie Hughes,2,200-1,0.004975124378,0.1,0.04975124378,0.003191799183
Jimmy Walker,1.75,400-1,0.002493765586,0.0875,0.02850017813,0.001599879391
Martin Laird,1.75,250-1,0.003984063745,0.0875,0.04553215709,0.002555982613
Ty Strafaci,1.5,750-1,0.001331557923,0.075,0.01775410564,0.0008542631636
Joe Long,1.5,1000-1,0.000999000999,0.075,0.01332001332,0.0006409107251
Charles Osborne,1.5,1000-1,0.000999000999,0.075,0.01332001332,0.0006409107251
Jim Herman,1.25,500-1,0.001996007984,0.0625,0.03193612774,0.001280542187
Stewart Cink,1.25,400-1,0.002493765586,0.0625,0.03990024938,0.001599879391
Michael Thompson,1,250-1,0.003984063745,0.05,0.0796812749,0.002555982613
Robert Streb,1,500-1,0.001996007984,0.05,0.03992015968,0.001280542187
Brian Gay,0.75,300-1,0.003322259136,0.0375,0.08859357697,0.002131400784
Bernhard Langer,0.75,500-1,0.001996007984,0.0375,0.05322687957,0.001280542187
Vijay Singh,0.5,1000-1,0.000999000999,0.025,0.03996003996,0.0006409107251
Ian Woosnam,0.5,4000-1,0.0002499375156,0.025,0.009997500625,0.000160347822
Fred Couples,0.5,750-1,0.001331557923,0.025,0.05326231691,0.0008542631636
Mike Weir,0.5,1000-1,0.000999000999,0.025,0.03996003996,0.0006409107251
Jose Maria Olazabal,0.25,1500-1,0.0006662225183,0.0125,0.05329780147,0.0004274161465
Sandy Lyle,0.25,2500-1,0.000399840064,0.0125,0.03198720512,0.0002565180471
Larry Mize,0.25,2500-1,0.000399840064,0.0125,0.03198720512,0.0002565180471
